pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
50,c,,,,,15,2,62,2,819.1155206999974,820.1154591999948,820.1154591999948,820.1154591999948,820.1154591999948,820.1154591999948,821.1155557000311,821.1155557000311,c,1,1.5657485999981873,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
150,v,,,,,15,3,63,1,822.6988602000056,823.6989375000121,823.6989375000121,823.6989375000121,823.6989375000121,823.6989375000121,824.6988339000382,824.6988339000382,v,1,1.4810628999839537,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
-150,z,,,,,16,0,64,3,826.1987756000017,827.1987735000439,827.1987735000439,827.1987735000439,827.1987735000439,827.1987735000439,828.1990054000053,828.1990054000053,z,1,2.298923800000921,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
-50,x,,,,,16,1,65,0,830.5154433000134,831.5152935000369,831.5152935000369,831.5152935000369,831.5152935000369,831.5152935000369,832.5156247999985,832.5156247999985,x,1,1.20029649999924,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
-150,z,,,,,16,2,66,3,833.7487124000327,834.748804300034,834.748804300034,834.748804300034,834.748804300034,834.748804300034,835.7490052999929,835.7490052999929,z,1,1.4045467000105418,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
150,v,,,,,16,3,67,1,837.1822496000095,838.1824943000101,838.1824943000101,838.1824943000101,838.1824943000101,838.1824943000101,839.1821224000305,839.1821224000305,v,1,1.3430496999644674,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
50,c,,,,,17,0,68,2,840.5487294000341,841.5489052000339,841.5489052000339,841.5489052000339,841.5489052000339,841.5489052000339,842.548910100013,842.548910100013,c,1,0.9578258999972604,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
50,c,,,,,17,1,69,2,843.5320338000311,844.5323458000203,844.5323458000203,844.5323458000203,844.5323458000203,844.5323458000203,845.5321732000448,845.5321732000448,c,1,1.1774283000268042,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
150,v,,,,,17,2,70,1,846.7321150000207,847.7321045999997,847.7321045999997,847.7321045999997,847.7321045999997,847.7321045999997,848.7322389000328,848.7322389000328,v,1,0.9846547999768518,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
-50,x,,,,,17,3,71,0,849.7487700000056,850.7489590000478,850.7489590000478,850.7489590000478,850.7489590000478,850.7489590000478,851.7490850000177,851.7490850000177,x,1,1.9029336999519728,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
